stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
CIFC,1/24/2014,7.63,7.60,7.58,7.80,10147,157.9M,11.33
CIFC,1/24/2014,7.63,7.60,7.58,7.80,10147,157.9M,11.33
CNS,1/24/2014,36.46,35.57,35.20,36.46,270674,1.574B,24.37
CORR,1/24/2014,6.67,6.61,6.60,6.69,269433,159.7M,4.98
CIK,1/24/2014,3.62,3.61,3.61,3.64,129477,188.5M,9.66
DHIL,1/24/2014,125.79,119.80,118.02,125.79,9103,391.0M,19.67
EIA,1/24/2014,11.12,11.08,11.08,11.19,11532,43.0M,N/A
EV,1/24/2014,40.24,39.32,39.31,40.31,690642,4.629B,26.56
EVV,1/24/2014,15.33,15.29,15.24,15.39,277598,1.797B,19.30
ECF,1/24/2014,8.45,8.31,8.292,8.45,46312,112.2M,6.40
ECPG,1/24/2014,47.90,47.36,47.16,48.66,309504,1.204B,16.99
EVR,1/24/2014,61.94,59.16,58.44,61.99,485054,1.941B,41.70
FBRC,1/24/2014,25.99,25.59,25.28,25.99,73212,290.0M,2.91
FII,1/24/2014,28.11,27.53,27.22,28.3799,1129659,2.774B,18.23
FNGN,1/24/2014,67.13,61.58,60.74,67.13,613239,3.104B,127.98
FIG,1/24/2014,8.59,8.36,8.21,8.61,2396214,2.003B,14.18
BEN,1/24/2014,55.55,53.60,53.565,55.60,3477020,33.813B,16.67
GBL, ,1/24/2014,86.3599,85.74,81.51,83.59,14984,2.139B
GLCH,1/24/2014,10.97,11.10,10.62,11.1399,1503,68.7M,N/A
GVHIB,1/22/2014,N/A,0.007,N/A,N/A,0,992K,7.00
HCAP,1/24/2014,15.29,15.34,15.111,15.44,21353,93.9M,10.37
HCAPF,1/23/2014,N/A,10.80,N/A,N/A,0,107.5M,N/A
HNNA,1/22/2014,N/A,12.40,N/A,N/A,0,73.1M,14.94
HRZN,1/24/2014,14.48,14.305,14.26,14.54,43791,137.2M,38.41
VOYA,1/24/2014,34.11,33.79,33.12,34.20,1029166,8.813B,296.98
INNO,1/24/2014,0.0075,0.0065,0.0065,0.0075,50461,692K,N/A
ICORD, INC.,1/24/2014,1.20,1.02,1.02,1.20,4800,9.0M
IVZ,1/24/2014,34.69,33.48,33.47,34.825,3833279,14.841B,19.34
JNS,1/24/2014,11.73,11.45,11.32,11.75,6595530,2.166B,19.66
KKR,1/24/2014,25.60,24.56,24.23,25.63,3683671,7.077B,14.54
LAZ,1/24/2014,45.90,43.74,43.59,46.12,799737,5.325B,60.01
LM, Inc. ,1/24/2014,43.47,43.42,42.17,42.23,1509553,5.094B
MN,,1/24/2014,17.38,17.38,16.81,17.01,38990,231.9M
MCGC,1/24/2014,4.63,4.62,4.56,4.69,535006,329.0M,12.80
MERR,1/25/2014,N/A,0.091,N/A,N/A,10,11.0M,N/A
MERR,1/25/2014,N/A,0.091,N/A,N/A,10,11.0M,N/A
SMCG,1/24/2014,1.00,1.25,1.00,1.25,4436,10.3M,13.54
NMFC,1/24/2014,14.99,14.93,14.75,15.03,309462,674.2M,23.54
NOAH,1/24/2014,14.42,13.18,13.00,14.61,1458584,724.8M,18.48
NTRS,1/24/2014,61.16,61.13,61.09,62.18,1977061,14.507B,20.94
NVX,1/24/2014,13.15,13.12,13.10,13.21,79942,193.6M,N/A
NZH,1/24/2014,11.93,11.84,11.84,11.94,39813,285.9M,N/A
NKG,1/24/2014,12.18,12.22,12.18,12.28,13433,128.9M,23.38
NMY,1/24/2014,12.38,12.3899,12.36,12.46,35521,298.6M,25.64
NMB,1/24/2014,12.49,12.48,12.27,12.49,17215,24.5M,25.73
NMZ,1/24/2014,12.51,12.48,12.40,12.55,173294,624.4M,N/A
JRS,1/24/2014,10.05,9.99,9.91,10.14,70657,287.4M,9.94
OAK,1/24/2014,60.00,58.88,58.531,60.00,277469,2.252B,10.12
OZM,1/24/2014,15.40,14.90,14.52,15.40,1705671,2.381B,22.32
PFG,1/24/2014,45.45,43.97,43.97,45.57,1812749,12.943B,15.80
PSEC,1/24/2014,11.33,11.19,11.19,11.33,4043179,3.376B,10.32
PZN,1/24/2014,11.14,10.32,10.31,11.18,98581,125.4M,29.21
QLTS,1/24/2014,0.0021,0.0019,0.0016,0.0021,6135121,440K,N/A
QLTS,1/24/2014,0.0021,0.0019,0.0016,0.0021,6135121,440K,N/A
RAND,1/24/2014,N/A,3.15,3.15,3.20,3653,20.2M,243.85
RCG,1/23/2014,N/A,1.38,N/A,N/A,0,6.2M,3.70
REXI,,1/24/2014,8.96,8.85,8.766,8.91,15102,176.5M
SEIC,1/24/2014,34.65,33.76,33.682,34.65,805256,5.760B,21.99
SUNS,1/24/2014,18.16,18.26,18.15,18.32,53278,210.4M,25.79
SOHL,1/6/2014,N/A,0.05,N/A,N/A,0,959K,N/A
STT,1/24/2014,67.82,69.52,66.66,70.60,5519713,30.181B,15.75
TROW,1/24/2014,79.23,77.38,77.21,79.41,3172719,20.189B,21.54
BK,1/24/2014,32.71,32.34,32.305,33.00,7145116,36.940B,19.03
BX,1/24/2014,31.40,31.13,29.83,31.40,10658838,17.582B,28.13
CG,1/24/2014,36.40,36.04,35.60,36.82,420246,1.776B,38.72
TIPT,1/24/2014,7.63,7.73,7.65,8.18,2385,79.4M,N/A
TIPT,1/24/2014,7.63,7.73,7.65,8.18,2385,79.4M,N/A
GROW,1/24/2014,3.00,3.22,2.83,3.40,101291,49.8M,N/A
UCMT,12/24/2013,N/A,0.029,N/A,N/A,0,672K,N/A
VRTS,1/24/2014,198.71,190.98,189.13,198.71,152170,1.738B,25.81
WDR,1/24/2014,67.55,65.02,65.02,68.14,690203,5.554B,25.62
WHG,1/24/2014,60.03,57.65,56.97,60.49,39117,423.4M,29.05
WETF,1/24/2014,17.26,16.44,16.175,17.35,7226161,2.095B,61.31
AWF,1/24/2014,14.90,14.71,14.66,14.90,312964,1.268B,11.88
ACG,1/24/2014,7.59,7.58,7.565,7.60,772822,1.841B,42.40
AFB,1/24/2014,13.11,13.03,13.01,13.11,44059,374.5M,N/A
BCV, Lt,1/24/2014,19.24,19.24,19.0399,19.0399,16849,102.2M
BFZ,1/24/2014,14.16,14.11,14.09,14.18,72416,449.7M,N/A
BJZ,1/24/2014,16.01,16.09,16.01,16.14,20538,103.5M,50.16
BHK,1/24/2014,13.28,13.21,13.1632,13.30,58877,357.2M,N/A
DSU,1/24/2014,4.10,4.07,4.06,4.10,595804,441.3M,9.03
EGF,1/24/2014,14.03,14.06,14.01,14.07,16870,139.2M,142.32
BFO,1/24/2014,15.14,15.1099,15.0748,15.14,18643,84.0M,657.37
BNA,1/24/2014,10.40,10.39,10.35,10.46,131452,358.0M,N/A
BKT,1/24/2014,6.63,6.58,6.54,6.63,88034,420.7M,N/A
BKN,1/24/2014,15.10,14.9399,14.87,15.15,69039,256.4M,N/A
BTA,1/24/2014,10.65,10.59,10.58,10.65,38080,142.1M,N/A
MUI,1/24/2014,14.37,14.2207,14.20,14.39,173215,544.6M,N/A
MUA,1/24/2014,12.22,12.19,12.12,12.29,212892,436.2M,N/A
BPK,1/24/2014,16.22,16.20,16.10,16.22,38597,257.7M,32.55
BKK,1/24/2014,16.26,16.239,16.21,16.31,9730,328.6M,61.05
BIE,1/24/2014,13.88,13.85,13.83,13.92,7536,46.2M,N/A
BBK,1/24/2014,14.18,14.25,14.18,14.25,31928,149.8M,N/A
BBF,1/24/2014,13.06,13.07,12.95,13.09,50993,87.6M,N/A
BFK,1/24/2014,13.29,13.18,13.17,13.33,133658,589.7M,N/A
MEN,1/24/2014,10.75,10.76,10.71,10.8052,78528,318.1M,N/A
MUH,1/24/2014,14.16,14.07,14.07,14.16,38186,159.0M,N/A
MHD,1/24/2014,15.30,15.45,15.30,15.5099,69544,218.4M,N/A
MVT,1/24/2014,14.65,14.69,14.60,14.73,50427,307.9M,N/A
MYC,1/24/2014,14.38,14.31,14.31,14.38,49803,305.3M,N/A
MYD,1/24/2014,13.53,13.47,13.45,13.55,104792,627.9M,N/A
MYF,1/24/2014,14.06,14.05,14.02,14.1038,18106,191.4M,N/A
MYJ,1/24/2014,13.97,13.88,13.88,13.99,27795,198.3M,N/A
MQT,1/24/2014,12.24,12.23,12.19,12.26,57055,275.9M,N/A
MQY,1/24/2014,14.58,14.54,14.54,14.63,60850,446.0M,N/A
BNJ,1/24/2014,13.61,13.54,13.531,13.64,20573,103.7M,N/A
BLH,1/24/2014,15.52,15.587,15.52,15.60,13901,56.6M,305.45
BQH,1/24/2014,13.08,13.07,13.051,13.20,11755,36.6M,N/A
BNY,1/24/2014,13.09,13.10,13.07,13.15,23337,169.2M,N/A
BSD,1/24/2014,12.8743,12.8216,12.82,12.902,14761,93.6M,N/A
DSM,1/24/2014,7.86,7.79,7.77,7.86,95227,382.3M,12.35
DTF,1/24/2014,14.54,14.45,14.45,14.54,20294,123.1M,N/A
DUC,1/24/2014,10.55,10.47,10.4383,10.56,100543,287.9M,49.21
EFT,1/24/2014,15.47,15.42,15.40,15.47,83695,614.7M,13.35
EFR,1/24/2014,15.32,15.25,15.17,15.3299,140556,561.8M,13.97
EVF,1/24/2014,7.08,7.08,7.03,7.10,104725,268.1M,14.87
EVG,1/24/2014,15.76,15.70,15.611,15.79,58809,296.5M,85.22
PFO,1/24/2014,10.52,10.4997,10.47,10.5299,13927,128.9M,4.79
FDI,1/24/2014,14.25,14.29,14.20,14.3399,45321,125.4M,N/A
JHS,1/24/2014,14.72,14.79,14.65,14.97,30062,173.7M,28.54
JHI,1/24/2014,19.98,19.64,19.64,19.98,27195,171.9M,19.82
HPF,1/24/2014,18.63,18.51,18.5001,18.6795,93863,393.3M,133.79
HYF,1/24/2014,2.08,2.06,2.06,2.09,164454,128.0M,5.98
CMU,1/24/2014,4.40,4.47,4.341,4.47,154320,126.5M,10.40
CXH,1/24/2014,8.98,8.92,8.88,8.98,87986,103.3M,12.98
MFM,1/24/2014,6.44,6.42,6.391,6.45,48195,264.4M,N/A
MTS,1/24/2014,15.90,15.88,15.85,15.92,4495,164.6M,17.98
MSD,1/24/2014,9.52,9.51,9.41,9.52,248451,225.1M,119.50
ICB,1/24/2014,17.12,17.13,17.1101,17.16,5894,153.8M,255.67
NAC,1/24/2014,13.55,13.44,13.42,13.56,113958,316.2M,N/A
NQC,1/24/2014,13.74,13.59,13.57,13.74,28258,185.6M,N/A
NCO,1/24/2014,14.15,14.03,14.02,14.21,23504,114.6M,N/A
NCP,1/24/2014,13.76,13.75,13.75,13.8117,28103,179.0M,N/A
NXC,1/24/2014,13.98,14.00,13.97,14.06,11940,87.8M,N/A
NAD,1/24/2014,13.40,13.31,13.31,13.42,167670,523.0M,N/A
NQM,1/24/2014,14.12,14.14,14.10,14.19,103532,508.7M,N/A
NMI,1/24/2014,10.58,10.509,10.45,10.58,31561,87.0M,N/A
NUV,1/24/2014,9.38,9.34,9.335,9.44,440749,1.921B,N/A
NPF,1/24/2014,13.22,13.26,13.20,13.265,23252,263.7M,N/A
NQU,1/24/2014,13.04,13.05,13.00,13.08,141189,709.6M,N/A
JTP,1/24/2014,7.80,7.73,7.72,7.83,241711,499.8M,8.91
NIM,1/24/2014,10.05,10.03,10.00,10.15,58811,124.8M,N/A
NXQ,1/24/2014,12.95,12.96,12.94,13.01,16919,229.6M,N/A
NXR,1/24/2014,13.30,13.22,13.19,13.30,24349,172.5M,N/A
NSL,1/24/2014,7.27,7.27,7.17,7.27,138435,280.8M,8.90
PHT,1/24/2014,17.65,17.49,17.43,17.69,110245,499.4M,9.43
MAV,1/24/2014,13.63,13.59,13.55,13.66,36934,319.0M,N/A
PCF,1/24/2014,8.35,8.31,8.28,8.355,29547,138.1M,8.10
PMM,1/24/2014,7.00,6.94,6.92,7.00,147194,398.4M,N/A
PIM,1/24/2014,5.13,5.06,5.04,5.13,184274,317.6M,13.65
PMO,1/24/2014,11.26,11.23,11.21,11.30,173021,470.2M,N/A
PPT,1/24/2014,5.54,5.47,5.45,5.5401,318289,757.3M,10.57
SGM,1/24/2014,15.96,15.88,15.83,16.096,133737,409.2M,8.74
GIM,1/24/2014,7.95,7.84,7.81,7.9501,522636,1.052B,25.32
TICC,1/24/2014,10.42,10.30,10.24,10.49,352416,549.3M,8.98
TAI,1/24/2014,21.21,21.27,21.21,21.41,7387,134.4M,19.74
EHI,1/24/2014,12.42,12.25,12.16,12.47,217323,380.4M,6.06
GDF,1/24/2014,11.01,10.81,10.7701,11.01,88593,168.5M,29.00
PAI,1/24/2014,13.32,13.26,13.25,13.32,24243,125.5M,21.91
GFY,1/24/2014,17.38,17.3499,17.30,17.41,11067,115.7M,15.50
WIA,1/24/2014,11.54,11.57,11.54,11.58,63259,337.3M,N/A
BGR,1/24/2014,24.13,23.89,23.78,24.14,71141,711.1M,4.18
BME,1/24/2014,36.07,35.97,35.62,36.50,28557,278.3M,4.06
DDF,1/24/2014,9.38,9.22,9.20,9.38,70438,87.0M,3.83
DNP,1/24/2014,9.47,9.46,9.45,9.50,363404,2.578B,N/A
ETV,1/24/2014,14.01,13.89,13.85,14.04,284375,883.6M,13.30
GDV,1/24/2014,21.60,21.30,21.25,21.6099,236474,1.764B,4.82
GAB,1/24/2014,7.77,7.52,7.46,7.77,682197,1.422B,4.98
GUT,1/24/2014,6.50,6.45,6.45,6.54,195720,267.2M,11.61
GAM,1/24/2014,34.12,33.74,33.66,34.2567,53790,989.4M,4.10
HQL,1/24/2014,21.84,21.08,21.031,21.89,199642,316.1M,3.89
HTD,1/24/2014,18.50,18.32,18.3056,18.60,89931,687.8M,13.94
KIPO, ,1/24/2014,6.1896,6.10,6.0101,6.045,15888,53.4M
MFD,1/24/2014,17.00,16.93,16.82,17.24,17339,144.5M,5.17
MCC,1/24/2014,14.71,14.36,14.32,14.72,284238,576.6M,11.30
JDD,1/24/2014,11.37,11.24,11.221,11.38,55566,224.1M,7.10
JSN,1/24/2014,12.59,12.53,12.45,12.59,183539,833.1M,10.43
JTA,1/24/2014,13.44,13.25,13.16,13.46,52349,183.3M,4.91
JTD,1/24/2014,15.42,15.28,15.26,15.42,38102,221.3M,5.53
PEO,1/24/2014,26.65,26.22,26.22,26.70,57967,688.1M,7.63
RIF,1/24/2014,17.45,17.29,17.12,17.45,27390,132.3M,6.11
FUND,1/24/2014,7.61,7.496,7.48,7.61,14530,162.6M,7.94
RMT,1/24/2014,12.55,12.20,12.17,12.55,116268,359.4M,5.20
RVT,1/24/2014,15.72,15.43,15.3601,15.72,161268,1.097B,4.74
SOR, I,1/24/2014,67.0599,66.83,66.26,66.37,13359,574.4M
SPE,1/24/2014,17.32,17.109,17.08,17.32,31512,120.8M,6.28
ADX,1/24/2014,12.72,12.58,12.5517,12.76,157212,1.166B,6.18
DNY,1/24/2014,19.52,19.20,19.20,19.52,2916,79.8M,3.68
GLU,1/24/2014,19.70,19.60,19.53,19.70,14108,80.9M,11.83
TYN,1/24/2014,27.89,27.584,27.54,27.93,8546,174.1M,6.86
BOE,1/24/2014,15.13,14.85,14.85,15.13,256693,1.032B,5.17
BGY,1/24/2014,8.22,8.13,8.08,8.23,534839,894.2M,5.72
ETW,1/24/2014,11.92,11.74,11.73,11.92,505467,1.250B,10.49
JOF,1/24/2014,9.04,8.99,8.95,9.04,145403,254.7M,7.43
LDF,1/24/2014,12.24,12.1697,12.12,12.24,11372,83.1M,N/A
LGI,1/24/2014,17.25,16.94,16.8401,17.32,50343,162.7M,5.33
RNE,1/24/2014,19.52,19.64,19.505,19.67,3435,67.4M,10.32
EMF,1/24/2014,16.50,16.32,16.28,16.5301,228869,294.4M,82.12
TRF,1/24/2014,14.60,14.4107,14.37,14.60,22557,80.1M,N/A
KF, Inc. ,1/24/2014,39.43,39.43,39.01,39.01,26247,339.0M
AGBRE,1/24/2014,N/A,0.015,N/A,N/A,0,324K,N/A
AGBRE,1/24/2014,N/A,0.015,N/A,N/A,0,324K,N/A
AXP,1/24/2014,88.56,86.95,86.66,89.369,6360684,92.776B,18.27
FPAY, INC,1/24/2014,0.70,0.70,0.67,0.67,4000,12.5M
ARWD,1/23/2014,N/A,0.007,N/A,N/A,0,5.4M,N/A
ATLC,1/24/2014,3.15,3.20,3.15,3.20,5734,43.8M,N/A
ATLCF,1/16/2014,N/A,26.10,N/A,N/A,0,31.664B,16.80
ATLCY,1/24/2014,25.449,25.35,25.25,25.449,1668,30.755B,16.60
HAWK,1/24/2014,28.29,27.78,27.604,28.29,226267,1.444B,35.33
COF,1/24/2014,71.24,70.57,70.57,71.78,3776555,40.465B,10.29
CSE,1/24/2014,14.56,14.55,14.42,14.64,1811253,2.864B,17.82
CSH,1/24/2014,36.35,35.24,34.80,36.76,344633,1.065B,7.81
CIT,1/24/2014,48.82,47.95,47.71,49.14,1657574,9.598B,13.19
COSR, INC,1/23/2014,N/A,N/A,N/A,0.0397,0,4.8M
CPSS,1/24/2014,9.16,8.47,8.47,9.20,224036,188.7M,3.62
CACC,1/24/2014,134.09,131.69,130.23,134.09,19425,3.117B,13.26
COFI,11/26/2013,N/A,2.00,N/A,N/A,0,652.3M,N/A
COFI,11/26/2013,N/A,2.00,N/A,N/A,0,652.3M,N/A
DLLR,1/24/2014,10.45,10.19,10.18,10.55,448780,395.6M,N/A
DFS,1/24/2014,54.75,53.88,53.75,55.50,9025149,25.593B,10.56
ELAY,1/24/2014,0.0003,0.0003,0.0002,0.0003,12511166,65K,N/A
EFX, Inc. Com,1/24/2014,70.42,69.97,69.55,69.77,839602,8.490B
FFFC,1/24/2014,0.0006,0.0007,0.0005,0.0007,268367168,464K,N/A
AGM,1/24/2014,31.75,31.53,31.51,32.10,39932,342.5M,5.20
FSC,1/24/2014,9.47,9.39,9.37,9.50,1304537,1.307B,10.54
FCFS,1/24/2014,57.68,57.16,56.78,58.82,264360,1.652B,19.95
FDTC,1/9/2014,N/A,0.03,N/A,N/A,0,2.6M,N/A
GCA,1/24/2014,9.12,8.89,8.87,9.14,263089,582.0M,27.12
IBCA,1/24/2014,7.65,7.63,7.58,7.68,36082,167.2M,12.54
KNKT,1/24/2014,0.0081,0.0128,0.0081,0.0128,2390,794K,N/A
LOAN,1/24/2014,1.68,1.66,1.65,1.6899,5181,7.1M,12.85
MSTO,12/5/2013,N/A,0.02,N/A,N/A,0,N/A,N/A
MA,1/24/2014,81.81,78.51,78.50,81.98,9541224,91.275B,32.58
TAXI,1/24/2014,13.83,13.58,13.54,13.86,170576,295.6M,11.87
MFI,1/24/2014,8.96,8.91,8.91,8.99,11974,128.6M,13.62
MGI,1/24/2014,18.75,18.48,18.40,18.98,150533,1.071B,27.88
NNI, Inc. Comm,1/24/2014,37.53,37.47,36.67,36.95,87021,1.713B
NEWS,1/24/2014,15.66,15.35,15.23,15.66,23115,747.1M,34.89
NICK,1/24/2014,15.74,15.73,15.72,15.75,134145,192.0M,9.96
IX,1/24/2014,80.95,79.76,79.76,80.984,19399,20.335B,12.63
PHH,1/24/2014,23.87,24.03,23.87,24.15,808934,1.376B,11.04
PRSG,1/24/2014,8.10,7.99,7.99,8.10,523,176.7M,1.89
QIWI,1/24/2014,38.04,37.31,36.64,39.4899,675859,1.942B,37.63
CSEI,1/24/2014,0.045,0.04,0.04,0.045,72000,7.9M,N/A
RONE,1/3/2014,N/A,0.05,N/A,N/A,0,182K,0.32
RM,1/24/2014,34.45,33.79,33.67,35.00,122449,426.2M,16.00
SNFCA,1/24/2014,4.51,4.37,4.27,4.60,27396,52.2M,4.17
SLM,1/24/2014,23.15,23.01,22.98,23.36,8095731,9.871B,7.46
SPBC, Inc.,1/24/2014,20.259,19.38,20.259,20.259,201,29.6M
SRCO,1/24/2014,1.156,1.25,1.156,1.25,59017,22.9M,N/A
SRCO,1/24/2014,1.156,1.25,1.156,1.25,59017,22.9M,N/A
SRCO,1/24/2014,1.156,1.25,1.156,1.25,59017,22.9M,N/A
LEAF,1/24/2014,25.61,24.93,24.82,26.18,376383,2.863B,N/A
CSFS,1/24/2014,1.22,1.10,1.10,1.22,42691,19.3M,N/A
FMD,1/24/2014,6.55,6.51,6.3375,6.55,78772,73.4M,N/A
WU,1/24/2014,16.06,15.74,15.74,16.09,7749007,8.692B,10.68
TSS,1/24/2014,31.60,30.96,30.84,31.66,1667327,5.876B,25.14
TCAP,1/24/2014,27.71,27.20,27.06,27.81,215136,752.8M,9.64
VIEW, I,1/24/2014,2.37,2.35,2.33,2.34,25500,68.7M
V,1/24/2014,226.40,221.25,221.25,226.96,4023686,140.9B,30.07
WCRS,1/23/2014,N/A,0.14,N/A,N/A,0,8.4M,12.73
WRLD,1/24/2014,87.12,87.06,85.85,88.51,133971,951.2M,10.57
XOOM,1/24/2014,24.44,23.85,23.37,24.50,388276,891.0M,193.31
PVD,1/24/2014,84.42,83.00,78.1928,84.42,32988,1.833B,5.73
MABA,1/24/2014,N/A,0.60,N/A,N/A,0,653K,N/A
AGOE,1/24/2014,0.2701,0.33,0.265,0.33,66820,8.4M,N/A
AMTC,12/31/2013,N/A,0.01,N/A,N/A,0,34K,N/A
APO,1/24/2014,33.42,32.20,31.83,33.43,1388896,4.627B,8.02
AINV,1/24/2014,8.96,8.84,8.81,9.00,1915265,1.987B,13.75
AUTCF,1/17/2014,N/A,18.00,N/A,N/A,0,423.8M,40.72
BSOI,1/14/2014,N/A,0.20,N/A,N/A,0,178K,N/A
CBOE, In,1/24/2014,50.74,50.66,49.81,50.03,686816,4.362B
ESXB,1/24/2014,3.86,3.92,3.86,3.92,14845,85.1M,16.51
CVGC,9/17/2013,N/A,0.001,N/A,N/A,0,10K,0.07
CRWE,1/24/2014,0.0068,0.0065,0.0065,0.01,332378,5.7M,N/A
CYCA,1/24/2014,0.1901,0.2199,0.19,0.22,72585,5.7M,N/A
CYCA,1/24/2014,0.1901,0.2199,0.19,0.22,72585,5.7M,N/A
DSCY,1/23/2014,N/A,0.0041,N/A,N/A,0,104K,N/A
DOM,1/24/2014,6.30,6.29,6.10,6.30,52196,49.4M,9.78
DMLP,1/24/2014,25.60,25.51,25.28,25.76,35477,782.5M,18.32
CBMG,1/25/2014,N/A,5.10,N/A,N/A,12,32.4M,N/A
EDRG,1/23/2014,N/A,0.80,N/A,N/A,0,290K,N/A
EQS,1/24/2014,1.90,1.89,1.89,1.93,1681,20.0M,N/A
GCV,1/24/2014,6.15,6.08,6.06,6.16,15478,83.6M,6.52
GMEI,1/23/2014,N/A,0.43,N/A,N/A,0,11.7M,N/A
ICLD,1/24/2014,15.49,15.04,14.75,15.60,400926,96.4M,N/A
GDIV,1/17/2014,N/A,0.0051,N/A,N/A,0,78K,N/A
GVHIB,1/22/2014,N/A,0.007,N/A,N/A,0,992K,7.00
GNGT,1/10/2014,N/A,0.80,N/A,N/A,0,3.1M,N/A
GREW,1/13/2014,N/A,0.0317,N/A,N/A,0,3.1M,N/A
TINY,1/24/2014,3.10,3.07,3.07,3.10,49457,95.7M,N/A
HPCQ,1/23/2014,N/A,0.022,N/A,N/A,0,154K,N/A
ICE,1/24/2014,206.00,204.36,204.34,207.017,1314525,23.511B,27.15
ITDN,1/24/2014,N/A,0.022,N/A,N/A,0,880K,N/A
ICH,1/24/2014,7.21,7.23,7.18,7.25,10478,48.5M,N/A
IRNS,1/21/2014,N/A,3.70,N/A,N/A,0,6.9M,N/A
KABX,1/24/2014,0.0011,0.0012,0.0009,0.0012,3000006,156K,N/A
KABX,1/24/2014,0.0011,0.0012,0.0009,0.0012,3000006,156K,N/A
KCAP, I,1/24/2014,8.17,8.17,7.95,8.02,310114,265.0M
LDHL,1/23/2014,N/A,0.478,N/A,N/A,0,11.9M,N/A
KHZM,1/13/2014,N/A,0.008,N/A,N/A,0,616K,N/A
MAIN,1/24/2014,34.60,34.21,33.87,34.71,307076,1.359B,12.07
MARPS,1/24/2014,15.77,15.96,15.5543,15.98,3351,31.9M,11.24
MKGLF,1/14/2014,N/A,0.001,N/A,N/A,0,78,N/A
ZMDC,1/24/2014,0.75,1.25,0.75,1.30,14135,2.3M,N/A
MDCN,1/24/2014,0.90,1.99,0.90,2.55,126101,52.7M,N/A
MCAR,1/23/2014,N/A,0.10,N/A,N/A,0,4.5M,N/A
MTR,1/24/2014,22.5642,22.999,22.30,23.00,24467,42.8M,12.51
MSB,1/24/2014,23.00,22.00,21.78,23.00,107036,288.6M,14.65
MCMV,1/13/2014,N/A,0.1101,N/A,N/A,0,127K,N/A
MCMV,1/13/2014,N/A,0.1101,N/A,N/A,0,127K,N/A
MWKI,9/10/2013,N/A,0.20,N/A,N/A,0,31K,N/A
NTUR,1/21/2014,N/A,0.0031,N/A,N/A,0,169K,N/A
NRT,1/24/2014,22.00,22.08,21.78,22.2055,37759,202.9M,9.74
PGID,12/19/2013,N/A,1.25,N/A,N/A,0,655K,4.51
ROGI,1/25/2014,N/A,2.25,N/A,N/A,10,36.5M,N/A
REON,12/18/2013,N/A,0.85,N/A,N/A,0,35.3M,N/A
RHSC,12/24/2013,N/A,1.01,N/A,N/A,0,13.5M,N/A
DBMM,1/24/2014,0.0003,0.0004,0.0003,0.0004,18481288,80K,N/A
RBCF,1/24/2014,0.20,0.20,0.20,0.20,133000,3.4M,N/A
SBR,1/24/2014,49.81,49.92,49.61,49.99,19773,727.8M,12.90
SAR,1/24/2014,15.91,15.85,15.84,16.06,4265,85.3M,7.04
SGLB, INC.,1/24/2014,0.142,0.142,0.119,0.1345,12765637,74.9M
SVGP,12/31/2013,N/A,0.17,N/A,N/A,0,505K,N/A
SLRC,1/24/2014,23.00,22.78,22.62,23.05,160173,1.009B,14.34
SOPK,1/21/2014,N/A,0.0027,N/A,N/A,0,164K,N/A
SPAG,1/25/2014,N/A,0.055,N/A,N/A,50,2.3M,N/A
SPDL,1/24/2014,2.30,2.11,2.10,2.31,15148,57.9M,N/A
EFCT,1/24/2014,1.40,1.40,1.40,1.40,200,60.9M,N/A
STIV,1/15/2014,N/A,0.0013,N/A,N/A,0,263K,N/A
SWKH,1/25/2014,N/A,1.13,N/A,N/A,67,46.7M,35.31
TELOZ,1/24/2014,1.21,1.20,1.20,1.21,2127,5.7M,N/A
NDAQ,1/24/2014,38.31,37.60,37.58,38.6025,1302364,6.301B,19.95
TIRTZ,1/24/2014,3.14,3.02,3.02,3.14,3338,4.2M,8.94
TOMZ,1/23/2014,N/A,0.40,N/A,N/A,0,32.0M,N/A
TRBD,1/24/2014,0.0005,0.0005,0.0005,0.0005,600,328K,N/A
UHFI,1/13/2014,N/A,0.31,N/A,N/A,0,3.6M,N/A
UWBKQ,1/24/2014,0.05,0.065,0.05,0.0672,77255,1.9M,N/A
VPFG,1/24/2014,25.98,25.70,25.55,26.08,164168,981.0M,28.46
VIIC,1/23/2014,N/A,0.078,N/A,N/A,0,6.6M,N/A
VRHD,1/22/2014,N/A,2.00,N/A,N/A,0,896.1M,N/A
ZDVN,11/1/2013,N/A,0.35,N/A,N/A,0,5.6M,N/A
ZDVN,11/1/2013,N/A,0.35,N/A,N/A,0,5.6M,N/A
WASM,12/6/2013,N/A,0.33,N/A,N/A,0,3.1M,N/A
WILD, INC,1/23/2014,N/A,N/A,N/A,0.0155,0,510K
TWFH,1/17/2014,N/A,1.00,N/A,N/A,0,2.1M,N/A
BLX,1/24/2014,26.34,26.04,26.00,26.43,131995,1.002B,11.89
SAN, ,1/24/2014,8.88,8.87,8.67,8.69,13203922,92.787B
SAN, ,1/24/2014,8.88,8.87,8.67,8.69,13203922,92.787B
BCS,1/24/2014,18.29,17.94,17.92,18.3063,2658536,56.847B,N/A
CPSE,1/24/2014,16.05,16.05,16.05,16.05,278,41.6M,21.69
CS,1/24/2014,31.16,31.03,30.98,31.24,1362511,49.412B,17.15
HSBC, pl,1/24/2014,53.93,53.91,53.18,53.20,1934008,212.8B
LYG,1/24/2014,5.48,5.35,5.35,5.49,7420462,67.752B,N/A
