stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
BRZGD,1/24/2014,0.10,0.07,0.07,0.12,33318,66K,N/A
BMIX,1/24/2014,0.0898,0.0898,0.0725,0.0898,15050,6.4M,N/A
BRD,1/24/2014,0.99,0.961,0.9118,0.99,839363,223.0M,17.14
BFGC,1/24/2014,0.105,0.105,0.105,0.105,2600,4.7M,N/A
GTU,1/24/2014,44.36,44.50,44.15,44.62,25491,858.8M,N/A
CLGRF,1/24/2014,0.1966,0.195,0.1798,0.20,218279,34.3M,N/A
CLGRF,1/24/2014,0.1966,0.195,0.1798,0.20,218279,34.3M,N/A
CLNO, INC.,1/24/2014,0.0015,0.0015,0.0013,0.0013,53000,2.2M
CLNO, INC.,1/24/2014,0.0015,0.0015,0.0013,0.0013,53000,2.2M
CGCO,1/24/2014,0.02,0.02,0.02,0.02,20000,615K,N/A
BVN,1/24/2014,13.27,13.31,13.0001,13.47,1954645,3.383B,10.35
LODE, ,1/24/2014,1.94,1.90,1.83,1.88,134385,127.8M
CTGO,1/24/2014,11.00,11.00,11.00,11.00,2078,41.2M,N/A
DRD,1/24/2014,3.90,3.89,3.80,3.90,59374,147.5M,N/A
EGO,1/24/2014,6.68,6.61,6.41,6.77,6247810,4.724B,31.78
EGI,1/24/2014,0.35,0.35,0.348,0.3593,98617,51.4M,N/A
XRA,1/24/2014,0.68,0.645,0.63,0.68,201839,57.0M,N/A
FNV,1/24/2014,46.75,47.05,46.33,47.44,1015588,6.917B,116.41
GLLA,1/24/2014,0.132,0.125,0.125,0.132,146740,8.2M,N/A
GBGD,1/23/2014,N/A,0.105,N/A,N/A,0,9.2M,N/A
IMII,1/17/2014,N/A,0.62,N/A,N/A,7,12.8M,N/A
IMII,1/17/2014,N/A,0.62,N/A,N/A,7,12.8M,N/A
IMII,1/17/2014,N/A,0.62,N/A,N/A,7,12.8M,N/A
GCMN,,1/22/2014,N/A,N/A,N/A,0.009,0,826K
